7549,958,49,-1
8052,956,53,-1
8555,959,53,-1
9058,964,48,-1
9562,958,47,-1
10065,958,46,-1
10568,960,49,-1
11072,958,52,-1
11576,956,48,-1
12080,947,48,-56
12584,1336,114,-250
13088,1352,89,-219
13592,847,56,-115
14096,667,32,-1
14600,826,30,-1
15103,1088,19,-159
15607,1328,57,-214
16111,1001,52,-149
16615,953,46,-157
17119,957,80,-151
17623,952,78,-1
18127,1035,315,-1
18631,1079,-1,-1
19134,1053,-1,-1
19638,992,-1,-1
20141,967,-85,-1
20644,919,-1,-1
21147,934,-1,-1
21650,960,125,-132
22154,1016,91,-185
22658,935,49,-249
23162,937,50,-246
23666,859,100,-1
24169,993,73,-226
24673,883,78,-198
25177,845,78,-255
25681,906,28,40
26184,969,19,-1
26687,968,62,-177
27191,954,57,-192
27695,951,57,-179
28199,953,41,-182
28703,954,46,-173
29207,948,50,-182
29711,950,50,-178
30215,952,50,-171
30719,955,52,-178
31223,949,51,-175
31727,950,51,-185
32231,952,48,-188
32735,952,49,-177
33239,948,53,-178
33743,952,54,-175
34247,949,51,-179
34751,951,52,-176
35255,954,45,-182
35759,950,47,-180
36263,953,45,-179
36767,947,49,-180
37271,950,51,-173
37775,947,44,-175
38279,952,54,-173
38783,951,47,-176
39287,952,50,-177
39791,954,53,-178
40295,953,49,-183
40799,948,51,-177
41303,952,56,-178
41807,951,45,-183
42311,947,45,-177
42815,955,51,-186
43319,950,50,-175
43823,953,37,-181
44327,954,50,-181
44831,952,48,-174
45335,948,46,-182
45839,951,45,-181
46343,952,46,-172
46847,950,41,-184
