165203,961,64,-1
165706,959,58,-1
166209,958,63,-1
166713,964,60,-1
167217,963,61,-1
167720,965,57,-1
168224,964,61,-1
168728,965,59,-80
169232,960,62,-1
169736,962,63,-1
170240,960,56,-1
170744,961,59,-1
171248,967,59,-84
171752,959,62,-1
172256,961,67,-1
172760,961,55,-1
173263,962,57,-74
173767,962,57,-1
174271,959,62,-1
174774,963,64,-1
175278,958,62,-74
175782,963,60,-1
176285,964,61,-1
176788,961,62,-1
177292,966,62,-77
177796,957,63,-1
178300,959,61,-1
178803,964,57,-1
179307,956,57,-1
179811,955,60,-1
180314,963,60,-1
180818,960,60,-1
181322,964,55,-1
181826,965,63,-1
182329,957,58,-1
182833,961,52,-76
183337,957,64,-1
183841,961,58,-1
184345,963,58,-1
184849,961,56,-1
185353,961,62,-1
185856,963,59,-76
186360,957,61,-1
186864,960,62,-1
187368,965,57,-77
187872,956,64,-1
188376,965,59,-1
188879,965,67,-1
189383,959,55,-1
189887,959,58,-79
190391,963,63,-1
190894,963,57,-1
191398,965,68,-1
191901,965,61,-1
192405,964,56,-1
192908,962,60,-79
193412,963,61,-1
193916,965,58,-1
194420,957,66,-1
392390,963,57,-1
392894,963,63,-1
393398,960,62,-85
393902,961,57,-1
394406,960,56,-1
394910,967,59,-77
395414,959,63,-1
395917,961,58,-1
396420,963,55,-1
396923,961,62,-1
397426,958,55,-180
397930,955,56,-108
398434,961,45,-1
398938,958,48,-1
399442,960,49,-1
399946,962,44,-1
400450,968,50,-1
400954,978,110,-83
401458,920,277,-1
401962,849,539,-1
402466,776,633,-82
402970,725,709,-1
403474,577,807,-70
403978,443,-1,-1
404482,275,-1,-1
404985,49,-1,-1
405488,12,-1,-1
405991,-23,1013,-91
406495,-23,1004,-1
406999,-21,1012,-85
407503,-24,1006,-1
408007,-23,1009,-1
408511,-22,1005,-1
409015,-21,999,-1
409519,-28,1002,-1
410023,-27,998,-1
410527,-23,1003,-1
411031,-26,1007,-1
411535,-21,1005,-1
412039,-20,1001,-1
412543,-23,1005,-84
413047,-27,996,-1
413551,141,-1,-1
414054,364,-1,-1
414557,529,820,-1
415061,696,-1,-1
415564,833,543,-1
416068,916,331,5
416572,955,-1,-1
417075,965,67,-1
417579,954,64,-1
418083,965,47,-70
418587,957,50,-1
419091,963,48,-1
419595,962,50,-1
420099,961,50,-1
420603,960,54,-1
421107,960,55,-1
421611,960,53,-1
422115,960,51,-1
422618,963,51,-1
423121,964,52,-1
423625,957,55,-1
424129,962,53,-1
424633,955,54,-1
425136,966,46,-1
