4100,969,25,-1
4200,962,35,-1
4300,960,34,-1
4400,961,38,-1
4500,962,39,-1
4600,963,41,-1
4700,967,39,-1
4800,968,32,-1
4900,963,44,-1
5000,957,34,-1
5100,962,37,-1
5200,963,37,-1
5300,962,41,-1
5400,963,45,-1
5500,968,36,-1
5600,960,40,-1
5700,963,38,-1
5800,966,44,-1
5900,962,39,-1
6000,962,35,-1
6100,964,36,-1
6200,959,44,-1
6300,962,30,-1
6400,960,44,-1
6500,956,37,-1
6600,962,34,-1
6700,965,35,-1
6800,965,33,-1
6900,961,36,-1
7000,958,36,-1
7100,966,38,-1
7200,963,40,-1
7300,967,33,-1
7400,961,38,-1
7500,962,32,-1
7600,962,39,-1
7700,961,40,-1
7800,963,36,-1
7900,961,43,-1
8000,963,39,-1
8100,964,34,-1
8200,963,35,-1
8300,968,35,-1
8400,961,37,-1
8500,960,42,-1
8600,963,36,-1
8700,969,39,-1
8800,961,34,-1
8900,966,37,-1
9000,963,38,-1
9100,963,40,-1
9200,963,35,-1
9300,966,36,-1
9400,964,42,-1
9500,966,43,-1
9600,965,34,-1
9700,962,34,-1
9800,968,39,-1
9900,966,32,-1
10000,963,38,-1
10100,959,35,-1
10200,960,37,-1
10300,965,37,-1
10400,965,36,-1
10500,959,34,-1
10600,967,42,-1
10700,965,38,-1
10800,964,37,-1
10900,962,38,-1
11000,962,37,-1
11100,965,41,-1
11200,966,39,-1
11300,966,36,-1
11400,966,36,-1
11500,964,41,-1
11600,964,31,-1
11700,964,45,-1
11800,959,34,-1
11900,966,32,-1
12000,962,31,-1
12100,963,37,-1
12200,965,40,-1
12300,963,33,-1
12400,964,31,-1
12500,964,35,-1
12600,959,45,-1
12700,961,36,-1
12800,958,39,-1
12900,959,35,-1
13000,961,38,-1
13100,962,37,-1
13200,963,38,-1
13300,964,38,-1
13400,965,42,-1
13500,961,42,-1
13600,963,38,-1
13700,965,35,-1
13800,962,37,-1
13900,960,35,-1
14000,963,38,-1
14100,965,36,-1
14200,966,42,-1
14300,963,41,-1
14400,965,35,-1
14500,959,34,-1
14600,959,36,-1
14700,963,45,-1
14800,969,40,-1
14900,964,42,-1
15000,960,37,-1
15100,960,37,-1
15200,961,41,-1
15300,962,37,-1
15400,959,43,-1
15500,961,36,-1
15600,964,37,-1
15700,960,39,-1
15800,959,41,-1
15900,964,35,-1
16000,965,37,-1
16100,965,38,-1
16200,961,35,-1
16300,964,37,-1
16400,959,38,-1
16500,959,33,-1
16600,961,42,-1
16700,963,40,-1
16800,964,38,-1
16900,964,38,-1
17000,965,36,-1
17100,962,41,-1
17200,964,36,-1
17300,959,33,-1
17400,961,37,-1
17500,962,38,-1
17600,962,38,-1
17700,962,38,-1
17800,959,39,-1
17900,963,37,-1
18000,962,38,-1
18100,963,37,-1
18200,966,42,-1
18300,964,39,-1
18400,969,46,-1
18500,962,29,-1
18600,964,43,-1
18700,961,21,-1
18800,957,33,-1
18900,949,69,36
19000,1319,0,-1
19100,-222,-1,-1
19200,1356,-1,-1
19300,1787,57,-1
19400,-302,-24,24
19500,944,52,-1
19600,1961,-159,-437
19700,236,-1,-1
19800,-53,118,63
19900,1961,-163,-226
20000,1039,-1,-1
20100,-289,27,-1
20200,1939,49,-1
20300,1525,-177,-164
20400,-67,-1,-1
20500,909,57,-1
20600,1961,-1,-1
20700,59,-132,94
20800,320,77,113
20900,1961,-1,-1
21000,704,-1,-1
21100,-95,-1,-1
21200,1961,-1,-1
21300,1488,-1,-1
21400,-83,-1,-1
21500,1139,-1,-1
21600,1961,-1,-1
21700,231,-1,-1
21800,3,83,79
21900,1961,48,-188
22000,943,-1,-1
22100,-428,12,-1
22200,1958,-1,-1
22300,1571,-1,-1
22400,-72,-1,-1
22500,931,-1,-1
22600,1961,-52,-66
22700,370,-1,-1
22800,-30,72,3
22900,1961,-1,-1
23000,1299,-1,-1
23100,-681,21,-1
23200,1891,-1,-1
23300,1708,-1,-1
23400,-547,-165,169
23500,1189,109,-1
23600,1961,-1,-1
23700,-200,-1,-1
23800,661,127,-1
23900,1961,-154,-98
24000,285,-204,-1
24100,-168,78,-1
24200,1961,-1,-1
24300,646,-1,-1
24400,-109,-1,-1
24500,1796,-1,-1
24600,1197,-1,-1
24700,778,50,37
24800,931,68,44
24900,1141,75,28
25000,1071,102,-1
25100,938,74,-1
25200,980,35,-62
25300,959,28,-1
25400,971,49,-1
25500,963,45,-1
25600,961,46,-1
25700,970,17,-1
25800,968,44,-1
25900,961,48,-1
26000,958,12,-1
